filename,hugo_title,descriptive_title,link,topic_complexity,infographic_type_complexity
assignment-infographics-023.md,Assignment - Infographics - 023,Climate Change,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-023/,4,3
assignment-infographics-024.md,Assignment - Infographics - 024,Food Preservation,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-024/,2,2
assignment-infographics-025.md,Assignment - Infographics - 025,Healthy Snack Ideas,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-025/,1,1
assignment-infographics-026.md,Assignment - Infographics - 026,How to Make a Perfect Sandwich,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-026/,1,1
assignment-infographics-027.md,Assignment - Infographics - 027,Self-Care Checklist,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-027/,2,1
assignment-infographics-028.md,Assignment - Infographics - 028,The Science of Sleep,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-028/,3,2
assignment-infographics-029.md,Assignment - Infographics - 029,Recycling Guide,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-029/,2,2
assignment-infographics-030.md,Assignment - Infographics - 030,Life Cycle of a Butterfly,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-030/,1,2
assignment-infographics-031.md,Assignment - Infographics - 031,Impact of Social Media on Mental Health,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-031/,3,2
assignment-infographics-032.md,Assignment - Infographics - 032,Stars Lifecycle,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-032/,4,3
assignment-infographics-033.md,Assignment - Infographics - 033,Unique Accommodations Around the World,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-033/,2,2
assignment-infographics-034.md,Assignment - Infographics - 034,Strategies for Managing Anxiety,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-034/,3,2
assignment-infographics-035.md,Assignment - Infographics - 035,Inclusive Environment for People with Disabilities,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-035/,3,2
assignment-infographics-036.md,Assignment - Infographics - 036,How to Maintain a Clean and Healthy Space,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-036/,2,1
assignment-infographics-037.md,Assignment - Infographics - 037,Boosting Self-Esteem and Overcoming Negativity,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-037/,3,2
assignment-infographics-038.md,Assignment - Infographics - 038,Common Allergy Types and Triggers,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-038/,3,2
assignment-infographics-039.md,Assignment - Infographics - 039,Common Exercise Types and Their Benefits,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-039/,2,2
assignment-infographics-040.md,Assignment - Infographics - 040,Heat Stroke vs Heat Exhaustion,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-040/,3,3
assignment-infographics-041.md,Assignment - Infographics - 041,How to Use an ATM,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-041/,1,2
assignment-infographics-042.md,Assignment - Infographics - 042,How to Offer Prayers Five Times a Day,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-042/,2,2
assignment-infographics-043.md,Assignment - Infographics - 043,How to Cross the Road,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-043/,1,1
assignment-infographics-044.md,Assignment - Infographics - 044,How to Use Traffic Lights,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-044/,1,1
assignment-infographics-045.md,Assignment - Infographics - 045,Why You Should Respect Your Elders,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-045/,1,1
assignment-infographics-046.md,Assignment - Infographics - 046,Why You Should Read Books,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-046/,1,1
assignment-infographics-047.md,Assignment - Infographics - 047,Harms of Excessive Mobile Phone Use,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-047/,2,2
assignment-infographics-048.md,Assignment - Infographics - 048,Why You Should Stay Neat and Clean,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-048/,1,1
assignment-infographics-049.md,Assignment - Infographics - 049,Importance of Brushing Your Teeth,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-049/,1,1
assignment-infographics-050.md,Assignment - Infographics - 050,Political History of Pakistan,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-050/,4,3
assignment-infographics-051.md,Assignment - Infographics - 051,Finding Nemo,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-051/,3,2
assignment-infographics-052.md,Assignment - Infographics - 052,Kung Fu Panda,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-052/,3,2
assignment-infographics-053.md,Assignment - Infographics - 053,Home Alone,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-053/,3,2
assignment-infographics-054.md,Assignment - Infographics - 054,Zootopia,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-054/,3,2
assignment-infographics-055.md,Assignment - Infographics - 055,Cars,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-055/,3,2
assignment-infographics-056.md,Assignment - Infographics - 056,A Bug's Life,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-056/,3,2
assignment-infographics-057.md,Assignment - Infographics - 057,The Incredibles,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-057/,3,2
assignment-infographics-058.md,Assignment - Infographics - 058,Space Exploration Timeline,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-058/,3,3
assignment-infographics-059.md,Assignment - Infographics - 059,Robotic Missions to Mars,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-059/,3,3
assignment-infographics-060.md,Assignment - Infographics - 060,Moon Phases and Lunar Eclipses,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-060/,1,3
assignment-infographics-061.md,Assignment - Infographics - 061,Solar Eclipses,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-061/,1,3
assignment-infographics-062.md,Assignment - Infographics - 062,Composition and Structure of Comets,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-062/,3,3
assignment-infographics-063.md,Assignment - Infographics - 063,International Space Station,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-063/,3,3
assignment-infographics-064.md,Assignment - Infographics - 064,Voyager Golden Record,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-064/,3,3
assignment-infographics-065.md,Assignment - Infographics - 065,Meteor Showers,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-065/,3,3
assignment-infographics-066.md,Assignment - Infographics - 066,Life Cycle of Stars,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-066/,4,4
assignment-infographics-067.md,Assignment - Infographics - 067,Exploring Saturn,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-067/,2,2
assignment-infographics-068.md,Assignment - Infographics - 068,Discovering Jupiter,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-068/,2,2
assignment-infographics-069.md,Assignment - Infographics - 069,Pluto: The Dwarf Planet,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-069/,2,2
assignment-infographics-070.md,Assignment - Infographics - 070,The Chinese Whisper Game,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-070/,1,2
assignment-infographics-071.md,Assignment - Infographics - 071,A Balanced Diet for Young Females,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-071/,2,2
assignment-infographics-072.md,Assignment - Infographics - 072,Best Places to Visit in Pakistan,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-072/,2,3
assignment-infographics-073.md,Assignment - Infographics - 073,Exam Anxiety,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-073/,2,2
assignment-infographics-074.md,Assignment Infographics 074,Solar and Lunar Eclipses,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-074/,3,3
assignment-infographics-075.md,Assignment - Infographics - 075,How you personally spend 24 hours in a typical day,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-075/,1,4
assignment-infographics-076.md,Assignment - Infographics - 076,How your daily mobile phone screen time splits across app categories,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-076/,1,4
assignment-infographics-077.md,Assignment - Infographics - 077,Your weekly study time by subject and by activity type,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-077/,2,4
assignment-infographics-078.md,Assignment - Infographics - 078,Identifying the root causes of low exam grades among students,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-078/,2,3
assignment-infographics-079.md,Assignment - Infographics - 079,The causes of why students struggle to understand a specific subject,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-079/,3,3
assignment-infographics-080.md,Assignment - Infographics - 080,The causes of why students fail to submit homework on time,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-080/,2,3
assignment-infographics-081.md,Assignment - Infographics - 081,Exploring the causes of student distraction in the classroom,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-081/,2,3
assignment-infographics-082.md,Assignment - Infographics - 082,Teaching methods,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-082/,3,3
assignment-infographics-083.md,Assignment - Infographics - 083,Study skills,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-083/,2,3
assignment-infographics-084.md,Assignment - Infographics - 084,A healthy lifestyle,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-084/,2,3
assignment-infographics-085.md,Assignment - Infographics - 085,Allama Iqbal's philosophy of Khudi,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-085/,4,3
assignment-infographics-086.md,Assignment - Infographics - 086,The Pakistan Movement,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-086/,3,3
assignment-infographics-087.md,Assignment - Infographics - 087,Newton's Three Laws of Motion,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-087/,3,3
assignment-infographics-088.md,Assignment - Infographics - 088,"Analyzing ""The Necklace"" by Guy de Maupassant",https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-088/,2,3
assignment-infographics-089.md,Assignment - Infographics - 089,Photosynthesis,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-089/,3,3
assignment-infographics-090.md,Assignment - Infographics - 090,The human digestive system,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-090/,3,3
assignment-infographics-091.md,Assignment - Infographics - 091,Ohm's Law and basic electric circuits,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-091/,3,3
assignment-infographics-092.md,Assignment - Infographics - 092,ICC T20 World Cup History (2007-2024),https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-092/,1,2
assignment-infographics-093.md,Assignment - Infographics - 093,Pakistan Super League (PSL) History,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-093/,1,2
assignment-infographics-094.md,Assignment - Infographics - 094,Major Human Inventions (17th Century to 2020),https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-094/,2,2
assignment-infographics-095.md,Assignment - Infographics - 095,Western Art Movements: Renaissance to Postmodernism,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-095/,3,3
assignment-infographics-096.md,Assignment - Infographics - 096,Famous Artists Through History,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-096/,3,2
assignment-infographics-097.md,Assignment - Infographics - 097,All Olympic gold medals won by Pakistan,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-097/,2,2
assignment-infographics-098.md,Assignment - Infographics - 098,Every FIFA World Cup from 1930 to 2022,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-098/,1,2
assignment-infographics-099.md,Assignment - Infographics - 099,Major scientific discoveries from 1600 to 2020,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-099/,3,2
assignment-infographics-100.md,Assignment - Infographics - 100,Bloom's Taxonomy,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-100/,3,2
assignment-infographics-101.md,Assignment - Infographics - 101,How a teacher applies Bloom's Taxonomy to design a lesson,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-101/,4,3
assignment-infographics-102.md,Assignment - Infographics - 102,Fixed Mindset vs Growth Mindset,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-102/,2,2
assignment-infographics-103.md,Assignment - Infographics - 103,Classroom Rules for Students,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-103/,2,1
assignment-infographics-104.md,Assignment - Infographics - 104,The step-by-step process a primary teacher follows to co-create classroom rules,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-104/,2,3
assignment-infographics-105.md,Assignment - Infographics - 105,The structure of Pakistan's education system,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-105/,2,2
assignment-infographics-106.md,Assignment - Infographics - 106,Guiding a student through how to use a school library,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-106/,1,3
assignment-infographics-107.md,Assignment - Infographics - 107,Presenting the Five Pillars of Islam,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-107/,2,2
assignment-infographics-108.md,Assignment - Infographics - 108,All 12 months of the Islamic (Hijri) calendar arranged in a wheel,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-108/,2,3
assignment-infographics-109.md,Assignment - Infographics - 109,Key events in the Islamic calendar across a single Hijri year,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-109/,2,2
assignment-infographics-110.md,Assignment - Infographics - 110,Performing wudu (ablution),https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-110/,1,2
assignment-infographics-111.md,Assignment - Infographics - 111,Life of Prophet Ibrahim (عليه السلام),https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-111/,3,2
assignment-infographics-112.md,Assignment - Infographics - 112,Diagram illustrating the water cycle,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-112/,2,3
assignment-infographics-113.md,Assignment - Infographics - 113,The water cycle,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-113/,3,3
assignment-infographics-114.md,Assignment - Infographics - 114,A plant showing its main parts - roots,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-114/,2,2
assignment-infographics-115.md,Assignment - Infographics - 115,The main types of clouds - cirrus,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-115/,2,3
assignment-infographics-116.md,Assignment - Infographics - 116,The four main types of pollution - air,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-116/,2,2
assignment-infographics-117.md,Assignment - Infographics - 117,Analyzing the causes of worsening air pollution in Karachi,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-117/,3,3
assignment-infographics-118.md,Assignment - Infographics - 118,Water conservation at home,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-118/,1,1
assignment-infographics-119.md,Assignment - Infographics - 119,"Water, Food and Energy in Pakistan",https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-119/,4,3
assignment-infographics-120.md,Assignment - Infographics - 120,Infographic of a formal letter,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-120/,2,2
assignment-infographics-121.md,Assignment - Infographics - 121,The decisions a writer makes before and while writing a formal letter,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-121/,2,3
assignment-infographics-122.md,Assignment - Infographics - 122,Digital citizenship,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-122/,3,3
assignment-infographics-123.md,Assignment - Infographics - 123,Helps a student identify whether a message,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-123/,2,4
assignment-infographics-124.md,Assignment - Infographics - 124,Infographic listing the warning signs of online scams,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-124/,2,1
assignment-infographics-125.md,Assignment - Infographics - 125,Tells the complete story of the nitrogen cycle - what nitrogen is,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-125/,3,3
assignment-infographics-126.md,Assignment - Infographics - 126,Explains how the Earth's rotation causes day and night,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-126/,3,3
assignment-infographics-127.md,Assignment - Infographics - 127,Explains what sound waves are,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-127/,3,3
assignment-infographics-128.md,Assignment - Infographics - 128,Normal vision against myopia and hyperopia,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-128/,3,3
assignment-infographics-129.md,Assignment - Infographics - 129,The factors that affect the speed of sound - medium,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-129/,3,3
assignment-infographics-130.md,Assignment - Infographics - 130,The three key characteristics of sound - pitch,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-130/,3,3
assignment-infographics-131.md,Assignment - Infographics - 131,Follows the journey of a sound wave through the human ear from the outer ear...,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-131/,3,3
assignment-infographics-132.md,Assignment - Infographics - 132,Follows the journey of light through the human eye from the cornea to the brain,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-132/,3,3
assignment-infographics-133.md,Assignment - Infographics - 133,"English Tenses: Past, Present, Future",https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-133/,3,3
assignment-infographics-134.md,Assignment - Infographics - 134,Categorizing the types of pronouns in English,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-134/,2,2
assignment-infographics-135.md,Assignment - Infographics - 135,Formal and informal emails side by side,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-135/,2,2
assignment-infographics-136.md,Assignment - Infographics - 136,"When to use ""since"" and when to use ""for"" as prepositions of time",https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-136/,2,3
assignment-infographics-137.md,Assignment - Infographics - 137,Presenting all four types of conditional sentences,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-137/,3,3
assignment-infographics-138.md,Assignment - Infographics - 138,Organizing the modal verbs of English by function - ability,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-138/,3,3
assignment-infographics-139.md,Assignment - Infographics - 139,Guides a writer through choosing the correct article - a,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-139/,2,4
assignment-infographics-140.md,Assignment - Infographics - 140,The three degrees of adjectives - positive,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-140/,2,2
assignment-infographics-141.md,Assignment - Infographics - 141,How pronouns function as reference words in writing,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-141/,3,3
assignment-infographics-142.md,Assignment - Infographics - 142,Common English prefixes and suffixes,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-142/,2,2
assignment-infographics-143.md,Assignment - Infographics - 143,Present Simple Tense Structures,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-143/,2,3
assignment-infographics-144.md,Assignment - Infographics - 144,Narration: Direct and Indirect Speech,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-144/,4,3
assignment-infographics-145.md,Assignment - Infographics - 145,Categorizing English prepositions by type - place,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-145/,2,2
assignment-infographics-146.md,Assignment - Infographics - 146,The difference between countable and uncountable nouns,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-146/,2,3
assignment-infographics-147.md,Assignment - Infographics - 147,Introducing the cell as the basic unit of life,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-147/,3,2
assignment-infographics-148.md,Assignment - Infographics - 148,The organelles of an animal cell,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-148/,3,3
assignment-infographics-149.md,Assignment - Infographics - 149,The organelles of a plant cell,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-149/,3,3
assignment-infographics-150.md,Assignment - Infographics - 150,Unicellular and multicellular organisms,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-150/,3,2
assignment-infographics-151.md,Assignment - Infographics - 151,Categorizing the forms of energy,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-151/,3,3
assignment-infographics-152.md,Assignment - Infographics - 152,The complete life cycle of a frog,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-152/,2,3
assignment-infographics-153.md,Assignment - Infographics - 153,Life Cycle of a Butterfly,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-153/,2,3
assignment-infographics-154.md,Assignment - Infographics - 154,An overview of all five sense organs,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-154/,3,2
assignment-infographics-155.md,Assignment - Infographics - 155,How the Nose Works: The Journey of Smell,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-155/,3,3
assignment-infographics-156.md,Assignment - Infographics - 156,How the Tongue Works: The Journey of Taste,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-156/,3,3
assignment-infographics-157.md,Assignment - Infographics - 157,The structure of a helium atom,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-157/,2,2
